id,lemma
1219,assurance
1220,aster
1221,asterisk
1222,asteroid
1223,asthma
1224,astigmatism
1225,astonishment
1226,astrakhan
1227,astringency
1228,astrology
1229,astrologer
1230,astronaut
1231,astronomy
1232,astronomer
1233,astrophysics
1234,astrophysicist
1235,astuteness
1236,asylum
1237,asymmetry
1238,atelier
1239,atheist
1240,atheism
1241,athlete
1242,athlete's foot
1243,athleticism
1244,athletics
1245,athletic supporter
1246,atlantis
1247,Atlantis
1248,atlas
1249,atm
1250,ATM
1251,atmosphere
1252,atoll
1253,atom
1254,atomic bomb
1255,atomic clock
1256,atomic energy
1257,atomizer
1258,atonement
1259,atrium
1260,atrocity
1261,atrophy
1262,attache
1263,attaché
1264,attache case
1265,attaché case
1267,on attachment
1268,attacker
1270,on the attack
1271,under attack
1272,attack dog
1273,attainment
1274,attempt
1275,an attempt on someone's life
1276,attendance
1277,in attendance
1278,attendant
1279,attendee
1280,attender
1281,attention
1282,at attention
1283,attention deficit disorder
1284,attention span
1285,attentiveness
1286,attenuation
1287,attestation
1288,attic
1289,attire
1290,attitude
1291,attorney
1292,attorney at law
1293,attorney general
1294,attraction
1295,attractiveness
1296,attribution
1297,attribute
1298,attrition
1299,atv
1300,ATV
1301,aubergine
1302,auction
1303,auctioneer
1304,audaciousness
1305,audacity
1306,audibility
1307,audience
1308,audio
1309,audio book
1310,audiotape
1311,audit
1312,audition
1313,auditor
1314,auditorium
1315,auger
1316,augmentation
1317,august
1318,August
1319,auk
1320,auld lang syne
1321,aunt
1322,auntie
1323,au pair
1324,aura
1325,aurora australis
1326,aurora borealis
1327,auspices
1328,under the auspices of
1329,auspiciousness
1330,aussie
1331,Aussie
1332,austerity
1333,australian
1334,Australian
1335,austrian
1336,Austrian
1337,authenticity
1338,authentication
1339,author
1340,authoress
1341,authoritarianism
1342,authority
1343,have it on good excellent authority
1344,have it on good/excellent authority
1345,authorization
1346,authorisation
1347,authorship
1348,autism
1349,auto
1350,autobiography
1351,autobiographer
1352,autocracy
1353,autocrat
1354,autograph
1355,automaker
1356,automation
1357,automated teller
1358,automated teller machine
1360,automatic pilot
1361,automatic teller
1362,automatic teller machine
1363,automaton
1364,automobile
1365,autonomy
1366,autopilot
1367,autopsy
1368,autumn
1369,auxiliary
1370,auxiliary verb
1371,avail
1372,availability
1373,avalanche
1374,avant garde
1375,avant-garde
1376,avarice
1377,avatar
1378,avenger
1379,avenue
1380,average
1381,aversion
